acknowledge,v,"[əkˈnɑːlɪdʒ]","承认；致谢","Please acknowledge receipt of this email.","请确认收到此邮件。"
acquire,v,"[əˈkwaɪər]","获得；习得","She acquired a good knowledge of English.","她学得了很好的英语。"
active,adj,"[ˈæktɪv]","积极的；活跃的","He leads an active social life.","他有活跃的社交生活。"
activity,n,"[ækˈtɪvəti]","活动；行动","The school offers many extracurricular activities.","学校提供许多课外活动。"
actual,adj,"[ˈæktʃuəl]","实际的；真实的","The actual cost was higher than expected.","实际费用高于预期。"
adapt,v,"[əˈdæpt]","适应；改编","He adapted quickly to the new environment.","他很快适应了新环境。"
add,v,"[æd]","添加；增加","Add some sugar to the tea.","给茶里加点糖。"
addition,n,"[əˈdɪʃən]","增加；加法","In addition to English, she speaks French.","除了英语，她还会说法语。"
additional,adj,"[əˈdɪʃənəl]","额外的；附加的","Additional information is available online.","额外信息可在线获取。"
address,n./v,"[əˈdrɛs]","地址；演讲；写地址","He addressed the audience confidently.","他自信地向听众演讲。"
adequate,adj,"[ˈædəkwət]","足够的；适当的","The housing provided was not adequate.","提供的住房不够合适。"
adjust,v,"[əˈdʒʌst]","调整；适应","You can adjust the volume using this knob.","你可以用这个旋��调整音量。"
adult,n./adj,"[ˈædʌlt]","成人；成年的","Only adults may enter the competition.","只有成年人可以参加比赛。"
advance,n./v,"[ədˈvæns]","前进；促进；预付款","They made an advance payment for the order.","他们为订单付了预付款。"
advanced,adj,"[ədˈvænst]","先进的；高级的","He is taking an advanced physics course.","他在修一门高级物理课程。"
advantage,n,"[ədˈvæntɪdʒ]","优势；有利条件","He has the advantage of experience.","他有经验的优势。"
adventure,n,"[ədˈvɛntʃər]","冒险；奇遇","Their trip was full of adventure.","他们的旅行充满了冒险。"
advertise,v,"[ˈædvərˌtaɪz]","做广告；宣传","They advertised the job in the local paper.","他们在当地报纸上登了招聘广告。"
advice,n,"[ədˈvaɪs]","忠告；建议","He gave me helpful advice.","他给了我有用的建议。"
advise,v,"[ədˈvaɪz]","建议；劝告","I advise you to take a rest.","我建议你休息一下。"
