word,pos,us_phonetic,chinese,example,example_chinese
abandon,v,"[əˈbændən]","放弃；抛弃","He had to abandon the car by the roadside.","他不得不把车遗弃在路边。"
ability,n,"[əˈbɪləti]","能力；才能","She has the ability to solve complex problems.","她有解决复杂问题的能力。"
able,adj,"[ˈeɪbəl]","能；有能力的","He is able to finish the task on time.","他能够按时完成任务。"
about,prep./adv,"[əˈbaʊt]","关于；大约","The book is about modern history.","这本书是关于现代史的。"
above,prep./adv,"[əˈbʌv]","在……之上；超过","The picture hangs above the fireplace.","画挂在壁炉上方。"
abroad,adv,"[əˈbrɔːd]","在国外","She studied abroad for one year.","她在国外学习了一年。"
absence,n,"[ˈæbsəns]","缺席；缺乏","His frequent absence worried the teacher.","他经常缺席让老师很担心。"
absent,adj,"[ˈæbsənt]","缺席的；不在的","He was absent from class yesterday.","他昨天缺课了。"
absolute,adj,"[ˈæbsəluːt]","绝对的","She has absolute faith in his ability.","她对他的能力有完全的信心。"
absorb,v,"[əbˈzɔːrb]","吸收；使全神贯注","Plants absorb water and nutrients from the soil.","植物从土壤中吸收水分和养分。"
abstract,adj./n,"[ˈæbstrækt]","抽象的；摘要","The concept is too abstract for young students.","对小学生来说这个概念太抽象。"
accept,v,"[əkˈsept]","接受；承认","He accepted the job offer.","他接受了工作邀请。"
access,n./v,"[ˈækses]","进入；使用；访问","Students can access the library resources online.","学生可以在线访问图书馆资源。"
accident,n,"[ˈæksɪdənt]","事故；意外","The driver had an accident on the highway.","那位司机在高速公路上发生了事故。"
accompany,v,"[əˈkʌmpəni]","陪伴；伴随","I will accompany you to the station.","我会陪你去车站。"
accomplish,v,"[əˈkʌmplɪʃ]","完成；实现","They accomplished the task ahead of schedule.","他们提前完成了任务。"
according,prep,"[əˈkɔːrdɪŋ]","根据；按照","According to the report, sales rose last month.","根据报告，上个月销售额上升了。"
account,n./v,"[əˈkaʊnt]","账户；叙述；解释","She gave an account of the event.","她叙述了那件事。"
accurate,adj,"[ˈækjərət]","精确的；准确的","The data is accurate to within 1%.","数据精确到1%。"
achieve,v,"[əˈtʃiːv]","实现；达到","He achieved great success in his career.","他在事业上取得了巨大成功。"
